City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
338,coracora,-15.0333,-73.7833,17.57,50,95,6.12,Coracora,-18000
339,dunedin,-45.8742,170.5036,7.11,72,10,0.89,Dunedin,46800
340,vorgashor,67.5833,63.95,2.89,95,100,8.74,Vorgashor,10800
341,maloye ganyushkino,46.6,49.2667,18.43,59,92,2.56,Maloye Ganyushkino,18000
342,vila franca do campo,37.7167,-25.4333,20.49,99,99,4.3,Vila Franca do Campo,0
343,cidreira,-30.1811,-50.2056,15.66,63,5,3.42,Cidreira,-10800
344,la mira,18.035,-102.3266,30.25,75,100,3.68,La Mira,-21600
345,pisco,-13.7,-76.2167,23.03,64,0,4.63,Pisco,-18000
346,virginia,37.5481,-77.4467,29.18,56,20,3.09,Virginia,-14400
347,fortaleza,-3.7227,-38.5247,29.07,70,20,5.14,Fortaleza,-10800
348,iwon-up,40.3231,128.6553,16.56,48,100,2.39,Iwŏn-ŭp,32400
349,kristinestad,62.2743,21.376,9.5,94,100,4.08,Kristinestad,10800
350,westport,41.1415,-73.3579,26.2,64,75,3.09,Westport,-14400
351,moog,8.6011,124.4658,25.55,81,100,2.19,Moog,28800
352,mar del plata,-38.0023,-57.5575,15.85,84,0,5.66,Mar del Plata,-10800
353,igarka,67.4667,86.5833,0.78,97,100,10.88,Igarka,25200
354,trondheim,63.4305,10.3951,10.51,91,100,1.01,Trondheim,7200
355,cromer,52.9312,1.2989,16.58,95,100,5.19,Cromer,3600
356,canutama,-6.5339,-64.3831,41.73,16,77,1.28,Canutama,-14400
357,srivardhan,18.0333,73.0167,25.21,84,67,0.25,Srīvardhan,19800
358,santa elena de uairen,4.6167,-61.1333,30.27,30,71,3.0,Santa Elena de Uairen,-14400
359,kimbe,-5.5502,150.1429,24.66,94,99,2.0,Kimbe,36000
360,anchorage,61.2181,-149.9003,6.49,89,100,2.57,Anchorage,-28800
361,bria,6.5423,21.9863,21.29,91,100,1.66,Bria,3600
362,mumbwa,-14.9783,27.0619,24.54,38,0,4.13,Mumbwa,7200
363,la leonesa,-27.0379,-58.7035,29.01,30,0,3.94,La Leonesa,-10800
364,yanchep,-31.55,115.6833,14.51,61,98,6.19,Yanchep,28800
365,swakopmund,-22.6833,14.5333,14.47,87,4,0.89,Swakopmund,7200
366,talcahuano,-36.7167,-73.1167,13.82,67,75,4.12,Talcahuano,-10800
367,bubaque,11.2833,-15.8333,28.73,79,34,2.91,Bubaque,0
368,angel r. cabada,18.5833,-95.4333,30.26,70,85,4.04,Ángel R. Cabada,-21600
369,miyaly,48.8844,53.7836,17.95,43,85,7.66,Miyaly,18000
370,opuwo,-18.0607,13.84,25.63,17,10,1.78,Opuwo,7200
371,wewak,-3.5534,143.6268,25.27,88,96,2.41,Wewak,36000
372,lilongwe,-13.9669,33.7873,21.12,69,0,4.53,Lilongwe,7200
373,borogontsy,62.6683,131.1683,7.38,87,100,2.24,Borogontsy,32400
374,coquimbo,-29.9533,-71.3436,17.85,59,20,6.17,Coquimbo,-10800
375,port augusta,-32.5,137.7667,15.79,82,59,4.8,Port Augusta,37800
376,barcelos,41.5388,-8.6151,21.58,90,72,0.47,Barcelos,3600
